equipo,elo_actual
Argentina,1888.920197479399
France,1859.9994150814512
Spain,1853.1618821079287
England,1800.2991511909283
Morocco,1753.0118664583836
Brazil,1748.3575440156897
Portugal,1738.5550689956663
Colombia,1732.8792072308236
Germany,1710.7099139401532
Mexico,1704.0320471698635
Belgium,1689.8264520469945
Italy,1688.985674609322
Croatia,1680.0132466551458
Japan,1654.1477661328668
Switzerland,1640.7862418805375
USA,1631.6889505013498
Uruguay,1617.9605097392853
Austria,1617.1717832817415
Denmark,1615.446010119152
Norway,1592.962871697084
Ecuador,1592.3471444277789
Iran,1579.8036171708013
Ivory Coast,1562.4177979928106
Algeria,1552.7290067824783
Canada,1551.9248579195753
Egypt,1550.523045388825
Türkiye,1547.363931524948
Nigeria,1542.3756698447594
Ukraine,1541.6787591059892
South Korea,1539.0357710789722
Paraguay,1530.5693965881887
Serbia,1503.5420185885787
Poland,1499.3082273462614
Sweden,1497.4554784926438
Scotland,1494.5423618324767
Hungary,1490.266737513022
Venezuela,1487.6552144394757
Wales,1487.3326640549576
Greece,1471.18983292533
Chile,1469.3001297081148
Slovakia,1468.5800111279334
Slovenia,1464.0408066200957
Panama,1453.1309922225382
Czechia,1452.1784609383392
Uzbekistan,1445.1908071467624
Peru,1436.080921878979
Cameroon,1422.5390454261697
Mali,1421.6088406273461
Costa Rica,1421.3244057141371
Cabo Verde,1399.1211156234122
Saudi Arabia,1396.3396307556125
Ghana,1390.9150154352055
Tunisia,1385.5387163593289
Albania,1377.6573489686741
Georgia,1377.2922852505728
Bosnia and Herzegovina,1375.1897893333369
Iraq,1374.235709714029
Honduras,1367.8220611781367
Northern Ireland,1361.9675048160298
Burkina Faso,1359.4136618305436
Jordan,1359.4083251899956
Kosovo,1351.4588747464134
Jamaica,1347.8076644627956
Israel,1346.516288774929
Bolivia,1343.7999391065107
Netherlands,1338.2033345168315
Iceland,1336.137989206522
Qatar,1335.9117138422203
Finland,1302.2847424774777
Senegal,1299.0409805982813
New Zealand,1294.0004525480867
Montenegro,1293.0961738743017
Australia,1282.5343138929454
Guinea,1275.0810968352691
Haiti,1272.7382165409247
Syria,1262.2600164407424
South Africa,1259.7994625630529
Gabon,1257.6079723786986
Zambia,1251.97987953877
Belarus,1249.642315805878
Uganda,1247.9170747643623
Thailand,1246.7782057722475
Bulgaria,1246.1317449533149
DR Congo,1237.7210334968545
Luxembourg,1230.6428177321818
Benin,1229.1429763997269
Bahrain,1222.7338991501501
Trinidad and Tobago,1219.6285389531483
Vietnam,1218.4183897721593
Russia,1216.0803667105315
Mozambique,1211.2690491420747
Palestine,1210.7583572087376
Libya,1208.194348652825
Madagascar,1202.6864161136484
Tajikistan,1199.393092730924
Comoros,1199.2871613288307
Romania,1197.0455283933875
El Salvador,1193.0848208097752
United Arab Emirates,1192.4956137588842
Kazakhstan,1191.2926990636402
Equatorial Guinea,1190.0807024647913
Oman,1181.5883694786264
Ireland,1181.3662152017891
Angola,1179.9274153707547
Guatemala,1178.081744495306
Indonesia,1176.5671416209684
Niger,1172.7604497478517
Kenya,1170.3843886852894
Gambia,1167.772599776689
Togo,1165.0280472107472
Tanzania,1163.7904343094244
Armenia,1163.4322986676873
North Macedonia,1163.0509132437203
Mauritania,1162.7992071241297
Suriname,1159.49197069245
Sierra Leone,1154.1793862692357
Curaçao,1154.173571318838
Sudan,1152.8620676804542
North Korea,1148.6746668414664
Malaysia,1146.186097124905
Rwanda,1140.39681455332
Estonia,1135.1290486098271
Azerbaijan,1134.9718998066758
Kuwait,1134.6520451445815
Namibia,1133.266099090132
China,1132.891079587586
Zimbabwe,1130.1021439494823
Tamil Eelam,1128.7379287906374
Faroe Islands,1126.7949591504089
Jersey,1123.7366356549385
Nicaragua,1123.4746314578247
Guadeloupe,1122.9105225886958
Ynys Môn,1119.6494467539942
Malawi,1119.4242501380365
Zanzibar,1118.7509211108777
Isle of Man,1115.1896604316894
New Caledonia,1115.0507873360566
Basque Country,1111.1386866800653
Guinea-Bissau,1110.1538968266057
Guernsey,1109.8581986404586
Raetia,1109.85612815834
Székely Land,1109.855093566347
Isle of Wight,1109.854061101955
Orkney,1109.6615515439057
Kyrgyzstan,1106.1724290295929
Shetland,1105.05557186899
Kernow,1105.0
Réunion,1102.414602369446
Philippines,1102.1741395925665
Martinique,1101.5506264584278
Lebanon,1101.4122168770211
Mayotte,1101.1190896252929
Chameria,1100.0719508170905
Saint Barthélemy,1099.9280491829095
Hitra,1099.8603635975037
Dominican Republic,1099.117134429387
Galicia,1099.1132390204893
Saint Vincent and the Grenadines,1098.4762143428745
Burundi,1096.047051096092
Gozo,1095.4907721204686
East Turkestan,1095.4806522779654
Western Isles,1095.2836013756573
Hmong,1095.2127043603784
Sápmi,1095.0
Tuvalu,1094.920416226678
Cyprus,1094.5689361973161
Greenland,1094.4763950864635
Liberia,1093.2751210213542
Congo,1092.0748970073275
Sint Maarten,1091.266149923156
Saint Martin,1090.918779307205
Ticino,1090.14387184166
Two Sicilies,1090.0729556165625
Menorca,1090.0020704821186
Ethiopia,1088.7822698522298
Marshall Islands,1088.4590936080062
Falkland Islands,1085.2856732012015
Åland Islands,1085.1459423237786
Central African Republic,1084.6853381064875
Turkmenistan,1083.9193783688568
Northern Mariana Islands,1083.575445455512
Botswana,1081.2289433431038
Tibet,1080.5687145710187
Saint Helena,1080.3563549878445
French Guiana,1078.6945525832289
Frøya,1075.5700959154958
Saint Lucia,1073.9616833076998
Vanuatu,1072.0912412464886
South Sudan,1071.9373685008113
Djibouti,1071.7221399888235
Saint Kitts and Nevis,1071.5855535135152
Guyana,1071.2451908072233
Lesotho,1070.5853999414285
Mauritius,1070.5059404690041
Yemen,1070.3647144674464
Latvia,1067.4701955353
São Tomé and Príncipe,1067.0117610613154
Sri Lanka,1062.7555230520618
Turks and Caicos Islands,1059.3643508857967
India,1056.1810632098282
Lithuania,1053.9667430541758
Singapore,1051.1196585083412
Taiwan,1047.4439400251379
Bonaire,1046.0821478708501
Tahiti,1042.4851724806124
Puerto Rico,1036.8677672525153
Moldova,1035.5872021519606
United States Virgin Islands,1035.5487768123319
Hong Kong,1035.2412529386086
Fiji,1018.4541188973614
Malta,1017.7949186292569
Solomon Islands,1017.512975672094
Cuba,1009.1772928179515
Myanmar,1003.9522427001605
Bermuda,992.0648935057986
Grenada,991.8560360486345
Papua New Guinea,989.5778086691317
Eswatini,977.267537131009
Afghanistan,947.98606345478
Belize,941.2465711629308
Antigua and Barbuda,929.926514500945
Andorra,926.1653156922976
Bangladesh,922.0332852387243
Cambodia,921.6959176688921
Montserrat,921.2691428779635
Chad,913.11371879946
Maldives,912.1750897254395
Nepal,911.5896643012085
Barbados,899.9334924589141
Aruba,898.8350959868723
Dominica,897.9205510576394
Samoa,882.4614781575291
Laos,877.0419072716282
Brunei,866.5346906648596
Cook Islands,859.5251985530002
Mongolia,853.8593420397882
Pakistan,847.9884906278439
Bhutan,846.1181777369103
Somalia,843.974523044058
Cayman Islands,843.9482668000104
American Samoa,843.8127434255774
Gibraltar,831.5156284783602
Tonga,825.5489296183462
Timor-Leste,825.318235500081
Macau,821.1802733164287
Guam,818.7792111181948
British Virgin Islands,796.5296957304442
Seychelles,792.8124671928906
Liechtenstein,789.1206403086238
Bahamas,764.1336829603184
Anguilla,756.5857206233113
San Marino,719.1251990117382
